,earnings,followers,follower_gain(change),email_subscribers,views,reads,number_articles,avg_earnings_per_article,avg_read_ratio
January,103.26,309.0,65.0,3.0,4500.0,3200.0,15.0,6.884,71.11
February,39.82,358.0,49.0,4.0,1200.0,863.0,10.0,3.982,71.92
March,74.53,384.0,26.0,5.0,2700.0,1800.0,19.0,3.9226315789473687,66.67
April,206.51,472.0,88.0,9.0,6200.0,4200.0,15.0,13.767333333333333,67.74
May,152.47,539.0,67.0,11.0,3700.0,2600.0,15.0,10.164666666666667,70.27
June,196.38,643.0,104.0,15.0,5300.0,3800.0,16.0,12.27375,71.7
July,319.06,841.0,198.0,19.0,11700.0,7800.0,21.0,15.193333333333333,66.67
August,413.91,1048.0,207.0,21.0,13200.0,9000.0,24.0,17.24625,68.18
September,676.92,1388.0,340.0,27.0,22000.0,16200.0,25.0,27.0768,73.64
October,463.29,1610.0,230.0,30.0,18300.0,12600.0,24.0,19.3,68.85
November,435.48,1762.0,172.0,29.0,18600.0,13100.0,24.0,18.14,70.43
December,298.96,1906.0,144.0,31.0,14300.0,9800.0,26.0,11.49,68.53
